CODE,DISPLAY,COUNT,PERCENTAGE_OF_CLAIMS,,CLAIM_COUNT,TYPE,PERCENTAGE_OF_CLAIMS
10000000000988,"Al-Hayat National Hospital,",200609,0.19%,,,,
10000300084413,SHIFA AL JAZEERA POLYCLINIC,199894,0.18%,,,,
10000300138169,ALFAIHA MEDICAL CENTER,198759,0.18%,,,,
10000300201504,DSAH,198430,0.18%,,,,
10000300085808,Dammam National Medical Company,196661,0.18%,,,,
10000300208244,NEBRAS MEDICAL COMPLEXx,195918,0.18%,,,,
10000300198353,NGP,192679,0.18%,,,,
10000300066667,ALZHRARH GENERAL HOSPITAL,185988,0.17%,,,,
10000000100311,Clinics Complex branch of Al-Abeer International Medical Company Ltd.- Medina,185523,0.17%,,,,
10000000135747,Al Mana Clinics Complex - Al Khobar,185399,0.17%,,,,
10000300036884,rafa,184038,0.17%,,,,
10000300178215,raseel medical center,183331,0.17%,,,,
10000300168521,almal medical group,181814,0.17%,,,,
10000300124789,naseem jeddah,180451,0.17%,,,,
10000300114921,elajalriyadh,178670,0.17%,,,,
10000300182688,faris aljazera medical complex,178423,0.16%,,,,
10000300272125,Sama Medical,178189,0.16%,,,,
10000300099296,ROUYA OPTICAL,178056,0.16%,,,,
10000300037254,Adwaa      alalamy      medical       complex,177052,0.16%,,,,
10000300200035,Qassim National Hospital,176908,0.16%,,,,
10000300056957,Green Crescent Hospital,175011,0.16%,,,,
10000300144381,AL HIJRAH  MEDICAL  CENTER CO,173851,0.16%,,,,
10000300156518,Al Naeem Medical Comple,169949,0.16%,,,,
10000300116769,Ali Ali AlAfari polyclinic in tabuk,169179,0.16%,,,,
10000300252861,Alwasaj Medical Health Company,168505,0.16%,,,,
10000300310040,Health Horayzon,168129,0.16%,,,,
10000300132014,amaluna medical center,167617,0.15%,,,,
10000300189774,AL YOUSIF HOSPITAL FOR MEDICAL CARE,167376,0.15%,,,,
10000300212196,Madina National Hospital,166814,0.15%,,,,
10000300273149,AL Nahdi Care Company,166769,0.15%,,,,
10000300102215,National Hail company for healthcare,166764,0.15%,,,,
10000300103940,ALJAWAHER DENTAL CLINIC COMPLEX,163145,0.15%,,,,
10000300082318,Excellence Medical Complex,163091,0.15%,,,,
10000300107412,Asian polyclinic CO,162787,0.15%,,,,
10000300095377,Nahdi Care Clinics,162109,0.15%,,,,
10000300264064,ALHARAMAIN MEDICAL COMPLEX,160181,0.15%,,,,
10000300177332,Khaled Distinct Medital Centir,159886,0.15%,,,,
10000300177795,Al Nakheel General Medical Center,159554,0.15%,,,,
10000000030643,Al-Hayat National Hospital-Khamis Mushait,158796,0.15%,,,,
10000300189378,IBN SINA HOSPITAL COLLEGE,158332,0.15%,,,,
10000300080841,SALAMATEK MEDICAL CENTER COMPANY,157453,0.15%,,,,
10000300210539,Dr Sulaiman Al Habib Medical Center,157394,0.15%,,,,
10000300203773,AL RAI MEDICAL POLYCLINIC - DAMMAM,156753,0.14%,,,,
10000300085196,NABRAS AL JAZIRA POLYCLINIC,156661,0.14%,,,,
10000300107529,Al Malaz Medical Company Clinics,156629,0.14%,,,,
10000300056429,Saed Saad Al Harithi Clinics Complex,155830,0.14%,,,,
10000300113857,ALAZHAR HOSPITAL,153908,0.14%,,,,
10000300078860,FACTORIES MEDICAL CARE POLYCLINIC - RIYADH,153163,0.14%,,,,
10000300108782,Dar Alelaj Clinics,152358,0.14%,,,,
10000300073333,ALJEDAANI HOSPITAL,151815,0.14%,,,,
10000300179213,noon clinic um alhamam branch,151480,0.14%,,,,
10000300196332,health and life polyclinic dammam,151382,0.14%,,,,
10000300080940,Elixir,151143,0.14%,,,,
10000300180237,badruddin poly clinic,148480,0.14%,,,,
10000300204615,Twareat Medical Care Centre,148477,0.14%,,,,
10000300108949,NAHJ AL SHIFAA GENRAL MEDICAL COMPANY GROUP,147273,0.14%,,,,
10000300112826,ALBARAKA POLYCLINIC,146683,0.14%,,,,
10000300274600,healthcare polyclinic company,145731,0.13%,,,,
10000300164546,ALAMEED MEDICL POLYCINIC,145605,0.13%,,,,
10000300195805,Heraa Medical Complex,145473,0.13%,,,,
10000300120779,AZIZ POLYCLINIC,144622,0.13%,,,,
10000300128657,Alrayah medical canter,143070,0.13%,,,,
10000300201405,Second Primary Care Medical Complex,142891,0.13%,,,,
10000300203641,ALFAIHA Medical Center,142737,0.13%,,,,
10000300226444,Dar As sihha medical center al Khobar,142434,0.13%,,,,
10000300041710,Al Rahma Medical Complex,141940,0.13%,,,,
10000300201645,Al Melhem Medical Complex,141768,0.13%,,,,
10000300081609,zamzam medical complex co,140684,0.13%,,,,
10000300042775,AlBadri Polyclinic,140401,0.13%,,,,
10000300127642,OMC,140319,0.13%,,,,
10000300202023,yanbu national hospital,139496,0.13%,,,,
10000300306915,MAJED MOHAMMED ALBISHRI MEDICAL COMPLEX-RABIGH,139303,0.13%,,,,
10000300195771,al bati medical center,139150,0.13%,,,,
10000300202189,The First Clinic Cnter,137346,0.13%,,,,
10000300133897,HALAH ESSA BINLADEN HOSPITAL,136441,0.13%,,,,
10000300061874,Speedy Recovery,135082,0.12%,,,,
10000000037034,Ruh-phcc-AlNuayma,133973,0.12%,,,,
10000300202916,DAR ALSHEFA HOSPITAL,132698,0.12%,,,,
10000300037270,ALOSRAH INTERNATIONAL HOSPITAL,132397,0.12%,,,,
10000300062591,ALKHOLOOD,131731,0.12%,,,,
10000300152152,Pharmacy NahdiTwo Six One,131120,0.12%,,,,
10000300115928,Taj General Medical Specialty Polyclinic,130542,0.12%,,,,
10000300052667,ALBUSTAN MEDICAL COMPLEX,129613,0.12%,,,,
10000300306790,ATLAS INTERNATIONAL MEDICAL COMPLEX,129450,0.12%,,,,
10000300096607,DR HANI RAGABN POLYCLINIC,128385,0.12%,,,,
10000300097654,NEW Jeddah clinic hospital,127902,0.12%,,,,
10000300144936,DHGH,126844,0.12%,,,,
10000300100268,Salamat General Medical Complex,126398,0.12%,,,,
10000300058292,Al Shifa Specialized Hospital,126385,0.12%,,,,
10000300147574,shifa Jizan polyclinic,126348,0.12%,,,,
10000300203039,SAMEERA MEDICAL CLINIC,126257,0.12%,,,,
10000000166080,Dr. Sulaiman Abdul Qadir Fakih Family Medicine Centers,125860,0.12%,,,,
10000300195581,tabeebuk medical company,123283,0.11%,,,,
10000300188131,MEDICAL CENTER,123015,0.11%,,,,
10000000002382,Obaid Specialist Hospital United Medical Projects Company Branch - Al-Ahsa,121455,0.11%,,,,
10000300231295,Branch of Hiba Asia Medical Complex General Company,121213,0.11%,,,,
10000300201777,Zahrat Alamal Medical Policlinc,119840,0.11%,,,,
10000300191036,Alzefr hsptl,119184,0.11%,,,,
10000300105242,Al Ameen Hospital,118136,0.11%,,,,
10000000030262,Al-Hayat National Hospital - Unaizah - Al-Qassim,118085,0.11%,,,,
10000300083613,Seha Al Diriyyah Medical Complex,118009,0.11%,,,,
10000300099627,DR NOOR MOHAMMED KHAN GENERAL HOSPITAL,117859,0.11%,,,,
10000300276068,Dr Sulaiman AlHabib Medical Center Digital City,117760,0.11%,,,,
10000000002910,Royal Commission Hospital in Jubail,116696,0.11%,,,,
10000300046305,SALAMAT HOSPITAL,116605,0.11%,,,,
10000000134062,Al-Abeer International Medical Company Clinics Complex 2 / Riyadh,116416,0.11%,,,,
10000300040167,fal alafia,116192,0.11%,,,,
10000300086103,Mudhar Charity Medical Association Complex,116098,0.11%,,,,
10000300266531,Jarir Medical co,114953,0.11%,,,,
10000300258736,al nahdi care compan y,113928,0.11%,,,,
10000000000728,"King Abdulaziz Medical City, Riyadh - Ministry of National Guard",113886,0.11%,,,,
10000000100329,Al-Abeer International Medical Company Clinics Complex ,112523,0.10%,,,,
10000000000799,ÙŒRoyal Commission Medical Center,112434,0.10%,,,,
10000300167903,Alaqeeq Polyclinic,112328,0.10%,,,,
10000300165238,Al Ryan Polyclinic,111649,0.10%,,,,
10000300105176,Doha Medical Complex,111087,0.10%,,,,
10000300198411,Ram Dammam Medical Company Complex,110853,0.10%,,,,
10000300041900,hetteen medical complex,109584,0.10%,,,,
10000000042943,King Faisal Specialist & Research Centre (Gen. Org.)-Jeddah,109318,0.10%,,,,
10000300201181,SBPC,109174,0.10%,,,,
10000300250493,Jezza Al Bishri Medical Complex - Jeddah,108954,0.10%,,,,
10000300094123,OLAYA POLYCLINIC COMPKLEX,108745,0.10%,,,,
10000300105283,Alkhaleejy Medical Polyclinic Shoubra,108365,0.10%,,,,
10000300201223,aljazeera medical complex frist,107844,0.10%,,,,
10000300191333,ALKHAZAN MEDICAL CLINICS,107245,0.10%,,,,
10000300163134,alfaraidy national polychinic,107103,0.10%,,,,
10000300067103,General Complex/Dr. Khaled Idriss & Partners,106992,0.10%,,,,
10000300220660,Aldar National Hospital (Hayat National Hospital â€“ Madinah (Branch 5)),106884,0.10%,,,,
10000300036819,Majed Mohammed Al Harbi Medical Complex - Thuwal,106623,0.10%,,,,
10000300198106,Zahrat Alamal Medical Policlinc,105958,0.10%,,,,
10000300067707,Al Wattan Medical Complex second,105624,0.10%,,,,
10000300158126,sec clinics dammam,105476,0.10%,,,,
10000300202593,ALHAKAMI MEDICAL COMPLEX,105263,0.10%,,,,
10000300178702,Faraby Medical Center in Dammam,104824,0.10%,,,,
10000300066642,Sigal World Medical Services Clinics Complex,104405,0.10%,,,,
10000300185418,al emeis hospital jazan,104329,0.10%,,,,
10000300273495,zawiat aleilaj Medical pharmacy,104280,0.10%,,,,
10000300055165,ALTARAF CHARITABLE SOCIETY POLYCLINIC,103976,0.10%,,,,
10000300121488,alahli complex,102865,0.10%,,,,
10000300248422,AL MOMTAZ POLYCLINIC,102858,0.10%,,,,
10000300041678,SHIFA JUBAIL MEDICAL CENTER,102819,0.10%,,,,
10000300102975,SHIFA JEDDAH POLYCLINIC,102722,0.09%,,,,
10000300066840,Global   Medical   Complex,102536,0.09%,,,,
10000000153377,Al-Mana Medical Complex in the second industrial zone. Dammam,102465,0.09%,,,,
10000300297627,Al Nahdi Care Company Ltd is a oneperson company,102357,0.09%,,,,
10000300181771,alnozha,102191,0.09%,,,,
10000300158316,Bait Aba Al-Khail Medical Complex 4,101725,0.09%,,,,
10000300187646,NEW ALSALAMA POLYCLINIC CO,101315,0.09%,,,,
10000300079116,Dr Sari Clinics,101282,0.09%,,,,
10000300148721,ALWATAN POLY CLINIC,101121,0.09%,,,,
10000300083779,Al Hanan Advanced General Medical,100747,0.09%,,,,
10000300048152,mujamae qimat altieb altibiya,100334,0.09%,,,,
10000300160874,Al Hiba General Medical Complex,100312,0.09%,,,,
10000300038377,Adelcare East Medical Complex,100246,0.09%,,,,
10000300170782,Khobar Cooperative Polyclinic,98443,0.09%,,,,
10000300034921,procare hospital,98387,0.09%,,,,
10000300261458,Dallah Care Medical,97903,0.09%,,,,
10000300312053,AlZubaidi General Hospital,97014,0.09%,,,,
10000300040274,Qamar Aloroba Medical Complex,96311,0.09%,,,,
10000300204326,Specialized Najran Medical Co  Hospital,95278,0.09%,,,,
10000300177464,AL YASMIN,95270,0.09%,,,,
10000300056031,Al Firooz Medical Clinic,95244,0.09%,,,,
10000300221197,Pharmacy  Nahdi Five,94763,0.09%,,,,
10000000068054,Zahrat Al-Abeer Medical Complex - Dammam,94701,0.09%,,,,
10000300199385,Khalidiya Complex,94646,0.09%,,,,
10000300125786,International Medical Center king abdullah university kaust,93987,0.09%,,,,
10000300121538,Badr aljazerah,93514,0.09%,,,,
10000300049580,majmae altaeawun althaani,93288,0.09%,,,,
10000300137229,AMGC,92634,0.09%,,,,
10000300116603,Doctor Talal Qutub Medical Center,92151,0.09%,,,,
10000300098918,Saudi Hospital in Jeddah,92142,0.09%,,,,
10000300179510,Adwaa International Medical Complex,92109,0.09%,,,,
10000300204359,Dorra Lamar Medical Complex,91955,0.09%,,,,
10000300149075,Bluedeem Medical Complex,91158,0.08%,,,,
10000300129838,Pharmacy NahdiTwo Six Nine,91068,0.08%,,,,
10000300065149,AlFarabi Medical Complex,89811,0.08%,,,,
10000300092952,Medical Factories Clinics Complex,89741,0.08%,,,,
10000300092002,Alkhaleejy Medical Clinic 1,89508,0.08%,,,,
10000300196951,almaali medical group,89445,0.08%,,,,
10000300118922,AlBarrak Medical Complex,89326,0.08%,,,,
10000300202544,Durrat Al Khozama Pharmacy,89041,0.08%,,,,
10000300336334,Olas Trading Company Limited,87701,0.08%,,,,
10000300065115,My Family Medical Center,87372,0.08%,,,,
10000300247259,Medical World Medical Clinics Complex,87019,0.08%,,,,
10000300199310,RUBBAN MEDICAL CENTER,86925,0.08%,,,,
10000300132428,Asian Polyclinic Azizia Co,86756,0.08%,,,,
10000300227988,SAMRIA MEDICAL COMPLEX,85404,0.08%,,,,
10000300045505,majmae alealamaa altibiyi,85280,0.08%,,,,
10000300337258,Sehat al Hamra Healthcare Company,84667,0.08%,,,,
10000300246715,royal polyclinic alkhafgi,84654,0.08%,,,,
10000300043518,alalam medical company,84626,0.08%,,,,
10000300269345,saydaliat alnahdi alraabiea,84507,0.08%,,,,
10000300202528,Almaali Hospital,84094,0.08%,,,,
10000300131362,ALSADIQ HOSPITAL,83832,0.08%,,,,
10000300061478,TABUK NATIONAL POLYCLINIC,83102,0.08%,,,,
10000300168463,dar el shoubaa medical poly clinic,82989,0.08%,,,,
10000300092929,Alsalam General Medical Centre Co,82876,0.08%,,,,
10000300115100,ALHIBA POLYCLINIC,82727,0.08%,,,,
10000300066485,RAWDAT ALAQSA MEDICAL COMPLES,81461,0.08%,,,,
10000300073416,shamekh,80845,0.07%,,,,
10000300099270,Global Medical Complex,80648,0.07%,,,,
10000300062690,MOHAMED ALI ALHABEEB MEDICAL COMPLEX,80167,0.07%,,,,
10000300197405,Al Mukhtar Medical Complex,79661,0.07%,,,,
10000300273164,Jawaher Sehatic Medical,78905,0.07%,,,,
10000300107636,ALZAFER HOSPITAL,78161,0.07%,,,,
10000300240064,Jazeel Medical Center,77858,0.07%,,,,
10000300158175,Almoraya experts medical complex,77640,0.07%,,,,
10000300201744,AL HAKAMI MEDICAL COMPLEX,77419,0.07%,,,,
10000300185723,Safa Makkah Clinics Complex,77392,0.07%,,,,
10000300103502,AL FAIHA  Medical Center,76835,0.07%,,,,
10000000034510,Al-Abeer Clinics Complex,76425,0.07%,,,,
10000300075494,Lama Medical Complex in Dammam,76271,0.07%,,,,
10000000131597,Dr. Ghassan Najeeb Pharaoh General Hospital (50 beds),76041,0.07%,,,,
10000300159892,Enayh Turaif Medical Services Complex,75683,0.07%,,,,
10000300110879,Shifaa Najran Medical Center,75490,0.07%,,,,
10000300164165,AMASS MEDICAL COMPLEX,75435,0.07%,,,,
10000300077680,SKM,75399,0.07%,,,,
10000300119177,Doctor Zaher Qadib Alban General Medical Complex,75236,0.07%,,,,
10000300191416,Al Badr Eighth General Medical Complex,74956,0.07%,,,,
10000300203260,Dar As Salama Medical Hospital,74894,0.07%,,,,
10000300202734,alfares crystal general medical complex,74867,0.07%,,,,
10000300083175,DHAKA MEDICAL,74502,0.07%,,,,
10000300086681,AL TAQWA MEDICAL COMPLEX - DAMMAM,74492,0.07%,,,,
10000300141247,AlKhazan Medical Complex II,74368,0.07%,,,,
10000300244595,asda alseha polyclinic,74353,0.07%,,,,
10000000036721,Comprehensive specialist clinics for security forces in hafar al-baten,74152,0.07%,,,,
10000300194063,Al Bishri Medical Complex - Rabigh,73833,0.07%,,,,
10000300203575,Al Hayat National Medical Complex,73727,0.07%,,,,
10000300093885,Global Medical Complex,73660,0.07%,,,,
10000300233341,TadawiModernMedical Complex,73534,0.07%,,,,
10000300193016,OSRT AL-MAJD MEDICAL COMPLEX - RIYADH,73264,0.07%,,,,
10000300305610,Al Nahdi Care Company Ltd isa oneperson compa ny,72720,0.07%,,,,
10000300113683,Faraby Medical Center in Dharan,71995,0.07%,,,,
10000300202858,AlGhad Specialized Medical Company Clinics Complex,71722,0.07%,,,,
10000300128012,shifa al dammam medical,71409,0.07%,,,,
10000300275359,Kayan Specialized Medical Complex,71105,0.07%,,,,
10000300318092,Al Nahdi Care Company Limited is a one person company,70885,0.07%,,,,
10000000001401,King Abdulaziz Medical City - Jeddah,70119,0.06%,,,,
10000300193297,MABASEM,70113,0.06%,,,,
10000000132827,"Magrabi Company Hospital, a branch of Magrabi Hospitals and Centers, in Riyadh",69694,0.06%,,,,
10000300167077,First Primary Care Medical Complex,69435,0.06%,,,,
10000300200175,Wady Ram J1 ,69086,0.06%,,,,
10000300095021,MANARET ALMOROJ POLYCLINIC,68760,0.06%,,,,
10000300058524,alarjan medical polyclinic,68638,0.06%,,,,
10000300215231,Revive Medical center,68443,0.06%,,,,
10000300151386,ALHUJILAN MEDICAL CENTER,68434,0.06%,,,,
10000300030127,Rashid AlOtaibi Polyclinic,68380,0.06%,,,,
10000300200191,bader medical center,68205,0.06%,,,,
10000300201215,ALWASEET MEDICAL COMPLEX,68151,0.06%,,,,
10000300062427,Exir Medical Complex,67779,0.06%,,,,
10000300225529,Adwaa Nammar C Co,67389,0.06%,,,,
10000300139480,Global Medical complex-1,66209,0.06%,,,,
10000300073341,Dr Abdulrahman almishari hospital,66095,0.06%,,,,
10000300075338,al amal medical center,65920,0.06%,,,,
10000300308275,Al Nahdi Care Company Ltd isa oneperson compan y,65790,0.06%,,,,
10000300156633,zahraa aljouf 1,65721,0.06%,,,,
10000300162862,AL ZOBAIDI MEDICAL POLYCLINIC - JEDDAH,65490,0.06%,,,,
10000300057781,SHIFA RAHIMA MEDICAL CENTER,65187,0.06%,,,,
10000300290317,Dr Soliman Fakeeh Hospital,65077,0.06%,,,,
10000300177555,AL QADI POLYCLINIC-ABA ALSAOUD - NAJRAN,65046,0.06%,,,,
10000300169354,AL-OTAISH GENERAL MEDICAL DISPENSARY,64535,0.06%,,,,
10000300180070,Basma Al Narges Medical Complex,64344,0.06%,,,,
10000300076245,Al azizia medical,64068,0.06%,,,,
10000300058920,alshefaa alkamel general clinic,63869,0.06%,,,,
10000300189204,TADAWI  MEDICAL HOSPITAL,63610,0.06%,,,,
10000300047667,Shoaa second Medical Complex,63608,0.06%,,,,
10000300175526,Abdulrahman Moala Al Sahli Medical Center,63399,0.06%,,,,
10000300227087,Lana Medical Pharmacy,63204,0.06%,,,,
10000300181045,Umm AlQura General Medical Complex AlKakiyah,62243,0.06%,,,,
10000300177050,Asfan Polyclinic,62056,0.06%,,,,
10000300070586,AlZubaidi General Medical Complex in Baljurashi,62043,0.06%,,,,
10000300051917,AJYAD POLY CLINIC,61931,0.06%,,,,
10000000047710,Saudi Red Crescent Makkah Branch,61775,0.06%,,,,
10000300107388,alnuairiyah medical polyclinic,61679,0.06%,,,,
